SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
meris;0;412.433615778;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;-0.00690520597272,0.926655493989,-0.0888904925453,-0.0703734680875,0.00678091294911,0.0128919459703,-0.0157899450295,0.0660571525882;-873.221398508;6.17570761289e-05
meris;0;412.433615778;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;-0.00690325487519,0.924821130545,-0.0878218464449,-0.0708536115145,0.00685909453427,0.0126735912329,-0.0157420007989,0.0662712213367;-872.209469094;6.22590556739e-05
meris;0;412.433615778;sentinel2;0,1,2,3,4,5,6,7,8,9,10;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255;-0.00329630784008,1.80024534523,-1.07708508952,0.294300344178,-0.0462653370997,0.0383900836689,-0.128869192377,-0.061352277009,0.284811651791,-0.142848905846,-0.0131110552779,0.0228773563535;-1093.03420438;9.98122786317e-06
meris;0;412.433615778;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;-0.0057207921286,0.883988605764,-0.0892878276434,-0.0082193805369,0.0496152502629;-894.833099999;5.45062269004e-05
meris;1;442.302283223;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;-0.0025367426027,1.00252252125,-0.0531747642537,-0.0287365356379,0.00362899521419,0.0148801729192,-0.0207934004809,0.0286856527203;-1123.82748155;8.31748476939e-06
meris;1;442.302283223;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;-0.00255151188271,1.0018857051,-0.05313222168,-0.0291667030905,0.00368930617081,0.0149793638602,-0.0211295982701,0.0291096966677;-1120.57244348;8.5369192773e-06
meris;1;442.302283223;sentinel2;0,1,2,3,4,5,6,7,8,9,10;443.929444843,496.541069687,560.006374949,664.4491622,703.886978943,740.223452517,782.473511978,835.110186795,864.80125832,945.027529483,1373.46188255;-6.69365758341e-05,1.03787593422,-0.0459790617549,0.00852497435013,-5.47956226289e-05,-0.000522890138495,-0.002536290519,0.0103619288026,-0.0271371448261,0.0187088249964,-0.000398876517584,0.000420856820523;-2102.13903378;3.11311165743e-09
meris;1;442.302283223;vgt;0,1,2,3;459.52,662.04,834.709418838,1649.64071856;-0.00143220525446,0.977027020107,-0.0347236444744,0.000467269066613,0.0114436169857;-1196.64049944;4.873711465e-06
meris;2;489.626577523;terra;2,3,0,1,4,5,6;465.742398799,553.736229817,646.295673296,856.47984028,1242.16286011,1629.40788053,2114.21403827;0.00129899647778,0.971508359524,0.0520032919404,0.0321366042007,-0.00562222010603,-0.0178511833214,0.0333870491449,-0.0307856896162;-1163.16724511;6.07171917178e-06
meris;2;489.626577523;aqua;2,3,0,1,4,5,6;466.07150204,553.917076647,645.8403499,856.877853417,1241.49758039,1628.08776832,2113.99922695;0.00126854709939,0.972388715167,0.0508889649897,0.0316732295846,-0.00552798915055,-0.01748529751,0.0328203667885,-0.0302722986385;-1166.72016039;5.90157029442e-06
